2024-02-27 09:15:22,769| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2024-02-27 09:15:22,769| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:22,769| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:22,773| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2024-02-27 09:15:22,801| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2024-02-27 09:15:22,869| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:22,996| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/shortcuts| 200 
2024-02-27 09:15:22,998| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/user/preferences/shortcuts| 200 
2024-02-27 09:15:23,019| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/nodes| 200 
2024-02-27 09:15:28,296| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2024-02-27 09:15:28,415| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2024-02-27 09:15:28,449| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:28,450| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:28,450| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:28,451| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2024-02-27 09:15:28,454| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/activeAdministrators| 200 
2024-02-27 09:15:28,456| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/uiSettings| 200 
2024-02-27 09:15:28,468| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:28,470| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/licenseExpiryStatus| 200 
2024-02-27 09:15:28,470| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:28,470| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:33,108| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/extendSession| 200 
2024-02-27 09:15:33,207| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:33,207| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:33,216| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:40,080| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:40,087| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:40,088| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:40,090| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:40,092| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:40,092| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:40,092| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:40,101| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:40,101| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:48,101| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:48,100| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:48,112| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:48,112| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:48,112| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:48,115| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:50,278| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:50,278| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:50,292| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:50,294| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:50,295| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:50,295| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:58,720| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:58,720| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:58,726| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:15:58,727| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:15:58,727| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:15:58,730| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:16:15,227| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:16:15,227| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:16:15,228| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:16:15,233| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:16:15,233| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:16:15,234| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:17:02,036| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:17:02,036| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:17:02,044| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:17:02,054| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:17:02,054| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:17:02,058| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:17:02,784| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:17:02,785| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:17:02,796| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:17:02,796| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:17:02,796| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:17:02,809| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:17:03,502| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:17:03,502| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:17:03,506| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:17:03,523| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:17:03,523| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:17:03,524| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:17:06,382| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/replicationInfo| 200 
2024-02-27 09:17:06,382| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
2024-02-27 09:17:06,384| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/notifications| 200 
2024-02-27 09:17:06,388| Administrator| Bearer| [0:0:0:0:0:0:0:1]| unknown| GET| /internal/internalDbWarnings| 200 
